District,Upazilla,Union/Area,POP,Router,Vendor,Port,Description
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/5,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/6,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/7,
Jhalokathi,Bamna,Baguna,Bamna BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/8,
,,,,,,,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/0,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/1,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/2,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/3,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/4,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/5,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/6,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/7,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/8,
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/9,To-Chanmari-AR-NE40-144
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/10,***PotuaKhali_SW_S3552_GE-1/7/1***
Patuakhali,Sadar,Patuakhali,Patuakhali BTCL Office,Patuakhali-AR-NE40-127,Huawei,GE1/0/11,<<To-Chandmari-144:GE1/0/10>>
